time	population	BRP	salary	rate 	inflation rate
1	972900	45800000,00	24895,00	47,08	2,4
2	961500	46900000,00	24987,00	48,78	0,8
3	954400	47200000,00	22006,00	49,46	0,6
4	947700	42903000,00	22787,00	45,27	0,4
5	975900	42800000,00	24994,00	43,86	0,5
6	974200	46000000,00	23665,00	47,22	0,2
7	955600	47900000,00	23977,00	50,13	0
8	980500	45020000,00	23901,00	45,92	-0,2
9	987000	47800000,00	24872,00	48,43	0
10	988300	46900000,00	24934,00	47,46	0,5
11	992000	45600000,00	25076,00	45,97	0,4
12	993900	44900000,00	26987,00	45,18	0,4
13	974500	44800000,00	27035,00	45,97	0,5
14	970200	39800000,00	27354,00	41,02	0,4
15	972000	39500000,00	27473,00	40,64	0,6
16	981900	46400000,00	27001,00	47,26	0,3
17	983800	47600000,00	28215,00	48,38	0,5
18	987400	46700000,00	27003,00	47,30	0,9
19	988200	43500000,00	27103,00	44,02	1,2
20	1005000	49100000,00	27664,00	48,86	0,1
21	998800	47400000,00	27268,00	47,46	0,6
22	1003200	46400000,00	27483,00	46,25	0,5
23	986400	50000000,00	27569,00	50,69	0,3
24	993700	53818000,00	28167,00	54,16	0,5
25	992500	52100000,00	27734,60	52,49	1
26	995900	50100000,00	26502,80	50,31	0,6
27	990900	55200000,00	27613,30	55,71	0,3
28	989900	54400000,00	28517,10	54,96	0,4
29	986000	55600000,00	29543,40	56,39	0,7
30	999400	56100000,00	30620,00	56,13	0,4
31	993100	54300000,00	29834,50	54,68	0,8
32	1003300	50100000,00	27905,00	49,94	0,1
33	1001900	53400000,00	28057,80	53,30	0,4
34	990200	55500000,00	30303,90	56,05	0,6
35	990200	56100000,00	31189,20	56,66	0,6
36	979900	56300000,00	40030,20	57,45	0,5
